전표일자,전표번호,계정코드,계정과목,차변금액,대변금액,거래처코드,입력사원,입력일자
20230101,50,10800,외상매출금,66000,0,12282,361,2023-01-04오후3:14:08
20230101,50,40401,제품매출,0,60000,12282,361,2023-01-04오후3:14:08
20230101,50,25500,부가세예수금,0,6000,12282,361,2023-01-04오후3:14:08
20230101,72,10800,외상매출금,-44000,0,5830,361,2023-01-04오후3:14:08
20230101,72,40401,제품매출,0,-40000,5830,361,2023-01-04오후3:14:08
20230101,72,25500,부가세예수금,0,-4000,5830,361,2023-01-04오후3:14:08
20230101,3240,40100,상품매출,0,473000000,14995,361,2023-01-04오후3:14:08
20230101,3240,25500,부가세예수금,0,47300000,14995,361,2023-01-04오후3:14:08
20230101,3240,10301,보통예금,520300000,0,14995,361,2023-01-04오후3:14:08
20230102,3333,40100,상품매출,0,728000000,9196,361,2023-01-04오후3:14:08
20230102,3333,25500,부가세예수금,0,72800000,9196,361,2023-01-04오후3:14:08
20230102,3333,24000,컴퓨터소프트웨어,800800000,0,9196,361,2023-01-04오후3:14:08
20230103,81,10800,외상매출금,66000,0,12916,361,2023-01-04오후3:14:08
20230103,81,40401,제품매출,0,60000,12916,361,2023-01-04오후3:14:08
20230103,81,25500,부가세예수금,0,6000,12916,361,2023-01-04오후3:14:08
20230104,25,25301,미지급금(일반),110000,0,14354,361,2023-01-04오후3:14:08
20230104,25,10301,보통예금,0,110000,91059,361,2023-01-04오후3:14:08
20230104,179,10800,외상매출금,880000,0,14733,260,2023-01-05오전10:14:01
20230104,179,40401,제품매출,0,800000,14733,260,2023-01-05오전10:14:01
20230104,179,25500,부가세예수금,0,80000,14733,260,2023-01-05오전10:14:01
20230104,213,10800,외상매출금,66000,0,11558,260,2023-01-05오전10:14:01
20230104,213,40401,제품매출,0,60000,11558,260,2023-01-05오전10:14:01
20230104,213,25500,부가세예수금,0,6000,11558,260,2023-01-05오전10:14:01
20230104,220,10800,외상매출금,66000,0,11873,260,2023-01-05오전10:14:01
20230104,220,40401,제품매출,0,60000,11873,260,2023-01-05오전10:14:01
20230104,220,25500,부가세예수금,0,6000,11873,260,2023-01-05오전10:14:01
20230104,271,10800,외상매출금,66000,0,13950,260,2023-01-05오전10:14:01
20230104,271,40401,제품매출,0,60000,13950,260,2023-01-05오전10:14:01
20230104,271,25500,부가세예수금,0,6000,13950,260,2023-01-05오전10:14:01
20230104,276,10800,외상매출금,66000,0,14009,260,2023-01-05오전10:14:01
20230104,276,40401,제품매출,0,60000,14009,260,2023-01-05오전10:14:01
20230104,276,25500,부가세예수금,0,6000,14009,260,2023-01-05오전10:14:01
20230105,2,25100,외상매입금,1622511,0,80230,260,2023-01-05오전10:14:01
20230105,2,10301,보통예금,0,1622511,91059,260,2023-01-05오전10:14:01
20230106,60,10800,외상매출금,38170,0,10905,361,2023-01-10오후5:09:41
20230106,60,40401,제품매출,0,34700,10905,361,2023-01-10오후5:09:41
20230106,60,25500,부가세예수금,0,3470,10905,361,2023-01-10오후5:09:41
20230106,94,10800,외상매출금,40590,0,13203,361,2023-01-10오후5:09:41
20230106,94,40401,제품매출,0,36900,13203,361,2023-01-10오후5:09:41
20230106,94,25500,부가세예수금,0,3690,13203,361,2023-01-10오후5:09:41
20230106,111,10800,외상매출금,57860,0,13551,361,2023-01-10오후5:09:41
20230106,111,40401,제품매출,0,52600,13551,361,2023-01-10오후5:09:41
20230106,111,25500,부가세예수금,0,5260,13551,361,2023-01-10오후5:09:41
20230106,155,10800,외상매출금,88540,0,14463,361,2023-01-10오후5:09:41
20230106,155,40401,제품매출,0,80490,14463,361,2023-01-10오후5:09:41
20230106,155,25500,부가세예수금,0,8050,14463,361,2023-01-10오후5:09:41
20230106,169,10800,외상매출금,44000,0,82307,361,2023-01-10오후5:09:41
20230106,169,40401,제품매출,0,40000,82307,361,2023-01-10오후5:09:41
20230106,169,25500,부가세예수금,0,4000,82307,361,2023-01-10오후5:09:41
20230107,7,10800,외상매출금,1122000,0,7270,361,2023-01-10오후5:09:41
20230107,7,40401,제품매출,0,1020000,7270,361,2023-01-10오후5:09:41
20230107,7,25500,부가세예수금,0,102000,7270,361,2023-01-10오후5:09:41
20230107,3261,40100,상품매출,0,868000000,11295,361,2023-01-10오후5:09:41
20230107,3261,25500,부가세예수금,0,86800000,11295,361,2023-01-10오후5:09:41
20230107,3261,10301,보통예금,954800000,0,11295,361,2023-01-10오후5:09:41
20230107,3276,40100,상품매출,0,802000000,83000,361,2023-01-10오후5:09:41
20230107,3276,25500,부가세예수금,0,80200000,83000,361,2023-01-10오후5:09:41
20230107,3276,24000,컴퓨터소프트웨어,882200000,0,83000,361,2023-01-10오후5:09:41
20230108,3282,40100,상품매출,0,977000000,82342,361,2023-01-10오후5:09:41
20230108,3282,25500,부가세예수금,0,97700000,82342,361,2023-01-10오후5:09:41
20230108,3282,24000,컴퓨터소프트웨어,1074700000,0,82342,361,2023-01-10오후5:09:41
20230109,3308,40100,상품매출,0,304000000,8710,361,2023-01-10오후5:09:41
20230109,3308,25500,부가세예수금,0,30400000,8710,361,2023-01-10오후5:09:41
20230109,3308,24000,컴퓨터소프트웨어,334400000,0,8710,361,2023-01-10오후5:09:41
20230110,29,10800,외상매출금,1181400,0,12620,361,2023-01-10오후5:09:41
20230110,29,40401,제품매출,0,1074000,12620,361,2023-01-10오후5:09:41
20230110,29,25500,부가세예수금,0,107400,12620,361,2023-01-10오후5:09:41
20230110,107,10800,외상매출금,990000,0,12469,361,2023-01-10오후5:09:41
20230110,107,40401,제품매출,0,900000,12469,361,2023-01-10오후5:09:41
20230110,107,25500,부가세예수금,0,90000,12469,361,2023-01-10오후5:09:41
20230110,157,25301,미지급금(일반),17583860,0,87216,361,2023-01-10오후5:09:41
